id,tax_src_id/id,tax_dest_id/id,position_id/id
megis-oe.position_tax_transferred,megis-oe.btw_21_buy,megis-oe.btw_ink_0,megis-oe.fiscal_position_template_transferred
megis-oe.position_tax_intracom_1,megis-oe.btw_0,megis-oe.btw_X0,megis-oe.fiscal_position_template_eu
megis-oe.position_tax_intracom_2,megis-oe.btw_6,megis-oe.btw_X0,megis-oe.fiscal_position_template_eu
megis-oe.position_tax_intracom_3,megis-oe.btw_21,megis-oe.btw_X0,megis-oe.fiscal_position_template_eu
megis-oe.position_tax_intracom_4,megis-oe.btw_overig,megis-oe.btw_X0,megis-oe.fiscal_position_template_eu
megis-oe.position_tax_intracom_5,megis-oe.btw_6_buy,megis-oe.btw_I_6,megis-oe.fiscal_position_template_eu
megis-oe.position_tax_intracom_6,megis-oe.btw_21_buy,megis-oe.btw_I_21,megis-oe.fiscal_position_template_eu
megis-oe.position_tax_intracom_7,megis-oe.btw_overig_buy,megis-oe.btw_I_overig,megis-oe.fiscal_position_template_eu
megis-oe.position_tax_extracom_1,megis-oe.btw_0,megis-oe.btw_X1,megis-oe.fiscal_position_template_non_eu
megis-oe.position_tax_extracom_2,megis-oe.btw_6,megis-oe.btw_X1,megis-oe.fiscal_position_template_non_eu
megis-oe.position_tax_extracom_3,megis-oe.btw_21,megis-oe.btw_X1,megis-oe.fiscal_position_template_non_eu
megis-oe.position_tax_extracom_4,megis-oe.btw_overig,megis-oe.btw_X1,megis-oe.fiscal_position_template_non_eu
megis-oe.position_tax_extracom_5,megis-oe.btw_6_buy,megis-oe.btw_E1,megis-oe.fiscal_position_template_non_eu
megis-oe.position_tax_extracom_6,megis-oe.btw_21_buy,megis-oe.btw_E2,megis-oe.fiscal_position_template_non_eu
megis-oe.position_tax_extracom_7,megis-oe.btw_overig_buy,megis-oe.btw_E_overig,megis-oe.fiscal_position_template_non_eu
