id,amount,chart_template_id/id,include_base_amount,description,type_tax_use,sequence,price_include,name,amount_type
megis-oe.btw_21_buy,0.21,megis-oe.megis-oe_chart_template,False,21% BTW ink,Purchases,5,False,BTW te vorderen hoog (inkopen)*,Percentage of Price
megis-oe.btw_21_buy_incl,0.21,megis-oe.megis-oe_chart_template,False,21% BTW ink incl,Purchases,5,True,BTW te vorderen hoog (inclusief),Percentage of Price
megis-oe.btw_21,0.21,megis-oe.megis-oe_chart_template,False,21% BTW verk,Sales,5,False,Verkopen/omzet hoog*,Percentage of Price
megis-oe.btw_0,,megis-oe.megis-oe_chart_template,False,0% BTW verk,Sales,10,False,Verkopen/omzet onbelast (nul-tarief)*,Percentage of Price
megis-oe.btw_6,0.06,megis-oe.megis-oe_chart_template,False,6% BTW verk,Sales,10,False,Verkopen/omzet laag*,Percentage of Price
megis-oe.btw_6_buy,0.06,megis-oe.megis-oe_chart_template,False,6% BTW ink,Purchases,10,False,BTW te vorderen laag (inkopen)*,Percentage of Price
megis-oe.btw_6_buy_incl,0.06,megis-oe.megis-oe_chart_template,False,6% BTW ink incl,Purchases,10,True,BTW te vorderen laag (inclusief),Percentage of Price
megis-oe.btw_overig,0.21,megis-oe.megis-oe_chart_template,False,variabel BTW verk,Sales,15,False,Verkopen/omzet overig*,Percentage of Price
megis-oe.btw_overig_buy,0.21,megis-oe.megis-oe_chart_template,False,variabel BTW ink,Purchases,15,False,BTW te vorderen overig (inkopen)*,Percentage of Price
megis-oe.btw_verk_0,,megis-oe.megis-oe_chart_template,False,0% BTW verlegd,Sales,15,False,BTW af te dragen verlegd (verkopen)*,Percentage of Price
megis-oe.btw_ink_0,0.21,megis-oe.megis-oe_chart_template,False,21% BTW verlegd,Purchases,15,False,BTW af te dragen verlegd (inkopen)*,Percentage of Price
megis-oe.btw_X1,,megis-oe.megis-oe_chart_template,False,BTW export buiten EU,Sales,20,False,Verkopen export buiten EU*,Percentage of Price
megis-oe.btw_I_6,0.06,megis-oe.megis-oe_chart_template,False,6% BTW import binnen EU,Purchases,20,False,Inkopen import binnen EU laag*,Percentage of Price
megis-oe.btw_I_21,0.21,megis-oe.megis-oe_chart_template,False,21% BTW import binnen EU,Purchases,20,False,Inkopen import binnen EU hoog*,Percentage of Price
megis-oe.btw_I_overig,,megis-oe.megis-oe_chart_template,False,0% BTW import binnen EU,Purchases,20,False,Inkopen import binnen EU overig*,Percentage of Price
megis-oe.btw_X0,,megis-oe.megis-oe_chart_template,False,BTW export binnen EU,Sales,20,False,Verkopen export binnen EU*,Percentage of Price
megis-oe.btw_X2,,megis-oe.megis-oe_chart_template,False,Inst./afst.verkopen binnen EU,Sales,20,False,Installatie/afstandsverkopen binnen EU*,Percentage of Price
megis-oe.btw_E1,0.06,megis-oe.megis-oe_chart_template,False,BTW import buiten EU,Purchases,20,False,Inkopen import buiten EU laag*,Percentage of Price
megis-oe.btw_E2,0.21,megis-oe.megis-oe_chart_template,False,BTW import buiten EU,Purchases,20,False,Inkopen import buiten EU hoog*,Percentage of Price
megis-oe.btw_E_overig,0.21,megis-oe.megis-oe_chart_template,False,BTW import buiten EU,Purchases,20,False,Inkopen import buiten EU overig*,Percentage of Price
megis-oe.btw_ink_0_1,1,megis-oe.megis-oe_chart_template,False,,Purchases,98,False,BTW te vorderen verlegd (inkopen1),Percentage of Price
megis-oe.btw_I_overig_2,1,megis-oe.megis-oe_chart_template,False,,Purchases,99,False,Inkopen import binnen EU overig(2),Percentage of Price
megis-oe.btw_E2_2,1,megis-oe.megis-oe_chart_template,False,,Purchases,99,False,Inkopen import buiten EU hoog(2),Percentage of Price
megis-oe.btw_E_overig_1,-1,megis-oe.megis-oe_chart_template,False,,Purchases,99,False,Inkopen import buiten EU overig(1),Percentage of Price
megis-oe.btw_E1_1,-1,megis-oe.megis-oe_chart_template,False,,Purchases,99,False,Inkopen import buiten EU laag(1),Percentage of Price
megis-oe.btw_ink_0_2,-1,megis-oe.megis-oe_chart_template,False,,Purchases,99,False,BTW af te dragen verlegd (inkopen2),Percentage of Price
megis-oe.btw_E1_2,1,megis-oe.megis-oe_chart_template,False,,Purchases,99,False,Inkopen import buiten EU laag(2),Percentage of Price
megis-oe.btw_I_6_1,-1,megis-oe.megis-oe_chart_template,False,,Purchases,99,False,Inkopen import binnen EU laag(1),Percentage of Price
megis-oe.btw_I_6_2,1,megis-oe.megis-oe_chart_template,False,,Purchases,99,False,Inkopen import binnen EU laag(2),Percentage of Price
megis-oe.btw_E_overig_2,1,megis-oe.megis-oe_chart_template,False,,Purchases,99,False,Inkopen import buiten EU overig(2),Percentage of Price
megis-oe.btw_I_21_1,-1,megis-oe.megis-oe_chart_template,False,,Purchases,99,False,Inkopen import binnen EU hoog(1),Percentage of Price
megis-oe.btw_I_21_2,1,megis-oe.megis-oe_chart_template,False,,Purchases,99,False,Inkopen import binnen EU hoog(2),Percentage of Price
megis-oe.btw_I_overig_1,-1,megis-oe.megis-oe_chart_template,False,,Purchases,99,False,Inkopen import binnen EU overig(1),Percentage of Price
megis-oe.btw_E2_1,-1,megis-oe.megis-oe_chart_template,False,,Purchases,99,False,Inkopen import buiten EU hoog(1),Percentage of Price
